"100","100","1","Nice","Paris","7.20","9.50"
"101","100","2","Paris","Toulouse","11.20","12.00"
"102","101","1","Paris","Nice","12.35","14.45"
"103","105","3","Grenoble","Toulouse","9.00","11.00"
"104","105","3","Toulouse","Grenoble","17.00","19.00"
"105","107","7","Lyon","Paris","6.00","7.00"
"106","109","8","Bastia","Paris","10.00","13.00"
"107","106","9","Paris","Brive","7.00","8.00"
"108","106","9","Brive","Paris","19.00","20.00"
"109","107","7","Paris","Lyon","18.00","19.00"
"110","102","2","Toulouse","Paris","15.00","16.00"
"111","108","5","Nice","Paris","14.00","16.00"
"112","109","2","Bastia","Paris","10.00","13.00"
"113","105","2","Toulouse","Grenoble","17.00","19.00"
"114","150","2","Paris","Marseille","10.00","12.00"
"115","155","2","Paris","Lille","11.00","12.00"
"116","101","4","Nice","Nantes","17.00","19.00"
"714","104","1","Moulinsart","Sydney","1.00","23.00"
